episode,reward,rail length
724,-176.04223466203337,8
725,-258.1306403446053,6
726,-377.76032900059295,4
727,-331.84526422799524,5
728,-434.5815238949143,3
729,-46.537294102916235,10
730,-225.81508458632646,7
731,-379.76032900059295,4
732,2.5398883655775535,11
733,-384.26032900059295,4
734,-376.76032900059295,4
735,-363.26032900059295,4
736,-377.76032900059295,4
737,-372.76032900059295,4
738,-377.76032900059295,4
739,-376.76032900059295,4
740,-180.54223466203337,8
741,-280.1306403446053,6
742,-234.81508458632646,7
743,-381.26032900059295,4
744,-373.76032900059295,4
745,-383.26032900059295,4
746,-333.84526422799524,5
747,-76.53729410291623,10
748,-233.81508458632646,7
749,-277.1306403446053,6
750,-378.76032900059295,4
751,-268.6306403446053,6
752,-85.53729410291623,10
753,-383.26032900059295,4
754,-439.5815238949143,3
755,-371.26032900059295,4
756,-373.76032900059295,4
757,-438.0815238949143,3
758,-381.76032900059295,4
759,-313.84526422799524,5
760,-379.26032900059295,4
761,-131.421077173017,9
762,-368.26032900059295,4
763,-381.26032900059295,4
764,-133.921077173017,9
765,-327.34526422799524,5
766,-330.84526422799524,5
767,-366.26032900059295,4
768,-369.26032900059295,4
769,-381.26032900059295,4
770,-376.76032900059295,4
771,-277.6306403446053,6
772,-272.1306403446053,6
773,-12.460111634422447,11
774,-370.76032900059295,4
775,-374.26032900059295,4
776,-374.76032900059295,4
777,-325.84526422799524,5
778,-191.04223466203337,8
779,-313.84526422799524,5
780,-376.26032900059295,4
781,-221.31508458632646,7
782,-331.34526422799524,5
783,-124.42107717301701,9
784,-373.76032900059295,4
785,-346.34526422799524,5
786,-377.76032900059295,4
787,-376.76032900059295,4
788,-373.76032900059295,4
789,-366.76032900059295,4
790,-381.26032900059295,4
791,-424.5815238949143,3
792,-174.04223466203337,8
793,-387.76032900059295,4
794,-374.26032900059295,4
795,-379.26032900059295,4
796,-276.6306403446053,6
797,-361.26032900059295,4
798,-70.03729410291623,10
799,-388.76032900059295,4
800,-371.26032900059295,4
801,-273.1306403446053,6
802,-382.76032900059295,4
803,-369.76032900059295,4
804,-377.76032900059295,4
805,-164.04223466203337,8
806,-381.76032900059295,4
807,-48.537294102916235,10
808,-373.26032900059295,4
809,-378.76032900059295,4
810,-324.84526422799524,5
811,-383.26032900059295,4
812,-363.76032900059295,4
813,-269.6306403446053,6
814,-207.81508458632646,7
815,-300.6306403446053,6
816,-388.26032900059295,4
817,-369.76032900059295,4
818,-373.26032900059295,4
819,-438.0815238949143,3
820,-336.84526422799524,5
821,-380.76032900059295,4
822,-387.26032900059295,4
823,-375.76032900059295,4
824,-274.1306403446053,6
825,-333.34526422799524,5
826,-365.26032900059295,4
827,-373.26032900059295,4
828,-376.76032900059295,4
