episode,reward,rail length,game win
571,3460.3508235883346,10,False
572,1627.3310613518665,8,False
573,1262.9774386215788,6,False
574,1102.9774386215788,6,False
575,-768.5413160023719,4,False
576,2713.65955346231,11,False
577,1307.3310613518665,8,False
578,-618.5413160023719,4,False
579,1912.3310613518665,8,False
580,3065.3508235883346,10,False
581,542.9774386215788,6,False
582,1734.815691307932,9,False
583,2170.350823588335,10,False
584,972.9774386215787,6,False
585,1922.3310613518665,8,False
586,887.9774386215788,6,False
587,-703.5413160023719,4,False
588,1522.3310613518665,8,False
589,1704.815691307932,9,False
590,1577.3310613518665,8,False
591,2369.815691307932,9,False
592,272.9774386215788,6,False
593,-658.5413160023719,4,False
594,-728.5413160023719,4,False
595,1899.815691307932,9,False
596,3868.65955346231,11,False
597,867.9774386215788,6,False
598,2860.3508235883346,10,False
599,2505.3508235883346,10,False
600,3485.3508235883346,10,False
601,4228.65955346231,11,False
602,1017.9774386215788,6,False
603,2234.815691307932,9,False
604,2689.815691307932,9,False
605,1103.239661654694,7,False
606,2274.815691307932,9,False
607,532.9774386215788,6,False
608,1312.9774386215786,6,False
609,912.9774386215788,6,False
610,-112.88105691198098,5,False
611,2442.3310613518665,8,False
612,1348.239661654694,7,False
613,1692.3310613518665,8,False
614,847.9774386215788,6,False
615,-778.5413160023719,4,False
616,1007.9774386215788,6,False
617,1797.3310613518665,8,False
618,3328.65955346231,11,False
619,3465.3508235883346,10,False
620,-152.88105691198098,5,False
621,2550.3508235883346,10,False
622,177.11894308801902,5,False
623,72.97743862157881,6,False
624,1882.3310613518665,8,False
625,2014.815691307932,9,False
626,1272.3310613518665,8,False
627,792.9774386215788,6,False
628,1998.239661654694,7,False
629,-718.5413160023719,4,False
630,852.9774386215787,6,False
631,-643.5413160023719,4,False
632,1322.3310613518665,8,False
633,-743.5413160023719,4,False
634,1737.3310613518665,8,False
635,152.11894308801902,5,False
636,1092.3310613518665,8,False
637,732.9774386215788,6,False
638,1597.3310613518665,8,False
639,922.9774386215788,6,False
640,2202.3310613518665,8,False
641,1672.3310613518665,8,False
642,2150.350823588335,10,False
643,3054.815691307932,9,False
644,2735.3508235883346,10,False
645,1912.3310613518665,8,False
646,1003.2396616546941,7,False
647,2302.3310613518665,8,False
648,1854.815691307932,9,False
649,-563.5413160023719,4,False
650,3145.3508235883346,10,False
651,-783.5413160023719,4,False
652,2285.350823588335,10,False
653,1182.9774386215788,6,False
654,2384.815691307932,9,False
655,13322.5,11,True
656,2400.350823588335,10,False
657,1942.3310613518663,8,False
658,-583.5413160023719,4,False
659,2425.3508235883346,10,False
660,-748.5413160023719,4,False
661,3199.815691307932,9,False
662,-703.5413160023719,4,False
663,2450.350823588335,10,False
664,2780.350823588335,10,False
665,-638.5413160023719,4,False
666,2192.331061351866,8,False
667,-698.5413160023719,4,False
668,1237.9774386215786,6,False
669,1577.3310613518665,8,False
670,1977.3310613518665,8,False
671,1637.3310613518665,8,False
672,3179.815691307932,9,False
673,3039.815691307932,9,False
674,1467.3310613518665,8,False
675,-788.5413160023719,4,False
676,802.9774386215788,6,False
677,1583.239661654694,7,False
678,3245.3508235883346,10,False
679,1683.239661654694,7,False
680,997.9774386215787,6,False
681,2380.3508235883346,10,False
682,317.9774386215788,6,False
683,4959.513249568357,12,False
684,2175.350823588335,10,False
685,1032.9774386215788,6,False
686,-708.5413160023719,4,False
687,2889.815691307932,9,False
688,2664.815691307932,9,False
689,807.9774386215788,6,False
690,1974.815691307932,9,False
691,1202.3310613518665,8,False
692,4614.513249568357,12,False
693,3455.3508235883346,10,False
694,1578.239661654694,7,False
695,-212.88105691198098,5,False
696,1062.9774386215788,6,False
697,1712.3310613518665,8,False
698,672.9774386215788,6,False
699,3199.815691307932,9,False
700,2472.3310613518665,8,False
701,1248.2396616546941,7,False
702,1622.3310613518665,8,False
703,-593.5413160023719,4,False
704,1832.3310613518665,8,False
705,1437.3310613518665,8,False
706,2510.350823588335,10,False
707,2360.3508235883346,10,False
708,1703.239661654694,7,False
709,1628.239661654694,7,False
710,3159.815691307932,9,False
711,2855.350823588335,10,False
712,1602.3310613518665,8,False
713,1023.2396616546941,7,False
714,152.11894308801902,5,False
715,2412.331061351866,8,False
716,112.11894308801902,5,False
717,3540.3508235883346,10,False
718,518.2396616546941,7,False
719,2770.350823588335,10,False
720,567.9774386215788,6,False
721,832.9774386215788,6,False
722,2082.3310613518665,8,False
723,1667.3310613518665,8,False
724,1627.3310613518665,8,False
725,-643.5413160023719,4,False
726,1667.3310613518665,8,False
727,542.118943088019,5,False
728,2229.815691307932,9,False
729,1062.9774386215788,6,False
730,3264.815691307932,9,False
731,1949.815691307932,9,False
732,1443.239661654694,7,False
733,1872.3310613518665,8,False
734,1503.239661654694,7,False
735,1804.815691307932,9,False
736,2237.331061351866,8,False
737,1002.9774386215788,6,False
738,838.2396616546941,7,False
739,1107.9774386215786,6,False
740,1797.3310613518665,8,False
741,1032.9774386215786,6,False
742,492.9774386215788,6,False
743,152.11894308801902,5,False
744,3983.65955346231,11,False
745,172.11894308801902,5,False
746,462.9774386215788,6,False
747,1872.3310613518665,8,False
748,1372.3310613518665,8,False
749,1167.9774386215786,6,False
750,1418.239661654694,7,False
751,3983.65955346231,11,False
752,722.9774386215788,6,False
753,2400.350823588335,10,False
754,972.9774386215788,6,False
755,1258.2396616546941,7,False
756,737.9774386215788,6,False
757,437.118943088019,5,False
758,1062.9774386215788,6,False
759,1127.9774386215788,6,False
760,1087.9774386215786,6,False
761,1939.815691307932,9,False
762,1443.239661654694,7,False
763,42.11894308801902,5,False
764,3490.350823588335,10,False
765,1832.3310613518665,8,False
766,1378.2396616546941,7,False
767,1063.2396616546941,7,False
768,1448.2396616546941,7,False
769,1412.9774386215786,6,False
770,903.2396616546941,7,False
771,1762.3310613518665,8,False
772,1232.9774386215786,6,False
773,1907.3310613518665,8,False
774,2414.815691307932,9,False
775,587.9774386215788,6,False
